Customer_ID,Customer_Name,Email,Age_Group,Location,Member_Since,Active_Status
1,Sarah Connor,michael.clark@example.com,46-55,Seattle,2021-08-11,True
2,Michael Clark,john.doe@example.com,18-25,Chicago,2021-03-21,True
3,James Bond,mary.jane@example.com,56+,New York,2021-06-21,True
4,Emily Davis,clark.kent@example.com,46-55,Boston,2021-05-28,True
5,Clark Kent,jane.smith@example.com,56+,Denver,2021-09-22,True
6,Emily Davis,michael.clark@example.com,56+,New York,2021-10-12,True
7,Emily Davis,robert.brown@example.com,46-55,Seattle,2023-05-17,True
8,Clark Kent,robert.brown@example.com,36-45,Denver,2023-07-04,True
9,James Bond,clark.kent@example.com,56+,Los Angeles,2021-01-08,True
10,James Bond,john.doe@example.com,46-55,Denver,2022-03-14,True
11,Clark Kent,john.doe@example.com,18-25,San Francisco,2023-11-08,True
12,Mary Jane,emily.davis@example.com,56+,Los Angeles,2022-01-19,True
13,John Doe,emily.davis@example.com,26-35,Boston,2022-08-09,True
14,Mary Jane,robert.brown@example.com,26-35,Chicago,2022-03-27,True
15,John Doe,james.bond@example.com,56+,Austin,2021-07-05,True
16,Bruce Wayne,bruce.wayne@example.com,46-55,Boston,2023-04-24,True
17,Jane Smith,michael.clark@example.com,46-55,Boston,2022-02-22,True
18,Michael Clark,sarah.connor@example.com,46-55,Los Angeles,2023-08-08,True
19,James Bond,john.doe@example.com,46-55,Miami,2022-04-09,True
20,Sarah Connor,clark.kent@example.com,46-55,Chicago,2021-07-15,True
21,James Bond,mary.jane@example.com,26-35,Los Angeles,2023-08-16,True
22,Robert Brown,michael.clark@example.com,36-45,Los Angeles,2022-09-16,True
23,Clark Kent,bruce.wayne@example.com,36-45,Chicago,2022-03-09,True
24,John Doe,jane.smith@example.com,46-55,Miami,2023-12-24,True
25,Michael Clark,sarah.connor@example.com,36-45,Seattle,2022-11-28,True
26,Jane Smith,sarah.connor@example.com,36-45,Boston,2023-08-10,True
27,Emily Davis,bruce.wayne@example.com,36-45,Seattle,2022-04-02,True
28,Emily Davis,robert.brown@example.com,46-55,Denver,2023-10-06,True
29,Bruce Wayne,sarah.connor@example.com,56+,New York,2021-07-10,True
30,John Doe,bruce.wayne@example.com,46-55,Seattle,2023-12-07,True
31,Bruce Wayne,bruce.wayne@example.com,26-35,Miami,2021-07-17,True
32,Mary Jane,jane.smith@example.com,36-45,Los Angeles,2021-12-27,True
33,Sarah Connor,robert.brown@example.com,56+,Los Angeles,2021-07-05,True
34,Clark Kent,bruce.wayne@example.com,56+,San Francisco,2022-12-23,True
35,Clark Kent,sarah.connor@example.com,18-25,Chicago,2023-02-17,True
36,Clark Kent,bruce.wayne@example.com,56+,Chicago,2021-11-14,True
37,Bruce Wayne,sarah.connor@example.com,56+,Miami,2022-08-08,True
38,Sarah Connor,james.bond@example.com,46-55,Chicago,2022-09-05,True
39,Clark Kent,clark.kent@example.com,56+,Chicago,2022-08-12,True
40,Jane Smith,jane.smith@example.com,56+,San Francisco,2023-03-22,True
41,James Bond,james.bond@example.com,18-25,Miami,2023-09-12,True
42,Clark Kent,sarah.connor@example.com,26-35,Austin,2022-09-10,True
43,Michael Clark,james.bond@example.com,46-55,Denver,2023-07-19,True
44,James Bond,michael.clark@example.com,18-25,Los Angeles,2022-02-24,True
45,John Doe,mary.jane@example.com,18-25,Los Angeles,2022-09-12,True
46,Jane Smith,sarah.connor@example.com,36-45,Boston,2022-04-18,True
47,Mary Jane,robert.brown@example.com,46-55,Miami,2023-07-24,True
48,Robert Brown,robert.brown@example.com,26-35,New York,2023-02-24,True
49,Jane Smith,robert.brown@example.com,18-25,Miami,2023-11-24,True
50,Bruce Wayne,robert.brown@example.com,26-35,Los Angeles,2023-04-08,True
51,Jane Smith,michael.clark@example.com,36-45,Denver,2022-04-01,True
52,Robert Brown,jane.smith@example.com,46-55,Chicago,2021-04-11,True
53,James Bond,james.bond@example.com,18-25,Denver,2023-11-10,True
54,Sarah Connor,john.doe@example.com,18-25,Dallas,2022-01-16,True
55,John Doe,clark.kent@example.com,36-45,Dallas,2023-10-03,True
56,John Doe,bruce.wayne@example.com,46-55,Seattle,2023-08-28,True
57,Michael Clark,emily.davis@example.com,26-35,Austin,2023-03-09,True
58,John Doe,emily.davis@example.com,18-25,Chicago,2023-12-22,True
59,Bruce Wayne,michael.clark@example.com,18-25,Chicago,2021-11-02,True
60,Bruce Wayne,michael.clark@example.com,56+,New York,2022-01-07,True
61,Sarah Connor,robert.brown@example.com,56+,San Francisco,2022-06-04,True
62,Bruce Wayne,bruce.wayne@example.com,26-35,Boston,2022-08-25,True
63,James Bond,james.bond@example.com,26-35,Chicago,2021-11-05,True
64,Clark Kent,jane.smith@example.com,18-25,Miami,2021-10-21,True
65,Sarah Connor,bruce.wayne@example.com,36-45,Los Angeles,2021-06-15,True
66,Mary Jane,jane.smith@example.com,46-55,Miami,2022-07-02,True
67,Mary Jane,jane.smith@example.com,46-55,Chicago,2022-01-20,True
68,John Doe,emily.davis@example.com,46-55,Chicago,2021-01-16,True
69,Bruce Wayne,mary.jane@example.com,18-25,Boston,2022-01-13,True
70,John Doe,jane.smith@example.com,56+,Dallas,2021-12-23,True
71,Robert Brown,clark.kent@example.com,26-35,Dallas,2021-05-03,True
72,Sarah Connor,jane.smith@example.com,46-55,Denver,2023-02-07,True
73,Mary Jane,bruce.wayne@example.com,36-45,Denver,2021-09-24,True
74,James Bond,jane.smith@example.com,56+,Dallas,2023-05-03,True
75,Sarah Connor,bruce.wayne@example.com,26-35,Austin,2021-12-27,True
76,Michael Clark,jane.smith@example.com,56+,Los Angeles,2023-01-06,True
77,Clark Kent,robert.brown@example.com,18-25,Seattle,2023-02-04,True
78,James Bond,james.bond@example.com,56+,Miami,2022-11-02,True
79,Robert Brown,jane.smith@example.com,46-55,San Francisco,2022-01-04,True
80,Sarah Connor,sarah.connor@example.com,36-45,Seattle,2022-07-25,True
81,Sarah Connor,sarah.connor@example.com,36-45,Boston,2022-01-05,True
82,James Bond,james.bond@example.com,36-45,Boston,2021-12-13,True
83,Robert Brown,robert.brown@example.com,46-55,New York,2021-06-12,True
84,James Bond,bruce.wayne@example.com,46-55,Miami,2023-01-08,True
85,James Bond,bruce.wayne@example.com,46-55,Austin,2021-06-08,True
86,Jane Smith,robert.brown@example.com,18-25,Dallas,2022-07-04,True
87,James Bond,clark.kent@example.com,56+,Boston,2021-06-11,True
88,Emily Davis,mary.jane@example.com,26-35,Dallas,2022-12-02,True
89,Jane Smith,sarah.connor@example.com,18-25,Seattle,2022-03-24,True
90,Emily Davis,james.bond@example.com,46-55,Austin,2022-04-01,True
91,Bruce Wayne,mary.jane@example.com,36-45,Denver,2022-08-23,True
92,Emily Davis,clark.kent@example.com,36-45,Los Angeles,2021-07-13,True
93,Mary Jane,jane.smith@example.com,46-55,Seattle,2021-01-09,True
94,Mary Jane,sarah.connor@example.com,36-45,Dallas,2023-05-09,True
95,Bruce Wayne,james.bond@example.com,18-25,Chicago,2023-05-07,True
96,Bruce Wayne,mary.jane@example.com,18-25,Chicago,2022-02-27,True
97,James Bond,bruce.wayne@example.com,18-25,Dallas,2021-12-18,True
98,Robert Brown,michael.clark@example.com,36-45,Denver,2023-10-20,True
99,Emily Davis,john.doe@example.com,46-55,Chicago,2023-02-03,True
100,Michael Clark,clark.kent@example.com,56+,Seattle,2021-03-07,True
